transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000371222	Brain - Substantia nigra	19.488	10.256	16.817	0.52624200208	52.212
ENST00000371222	Cells - EBV-transformed lymphocytes	11.109	5.185	10.418	0.466735238996	25.236
ENST00000559164	Thyroid	0.762	0.856	0.483	1.12373996469	3.453
ENST00000559164	Testis	0.187	0.306	0.000	1.63229940611	1.187
ENST00000559164	Brain - Anterior cingulate cortex (BA24)	0.351	0.392	0.213	1.11843547499	1.418
ENST00000559164	Skin - Not Sun Exposed (Suprapubic)	0.490	0.659	0.068	1.34618385842	2.504
ENST00000559164	Ovary	1.468	1.477	1.133	1.00605175095	5.559
ENST00000559164	Vagina	1.161	1.134	0.903	0.976283362258	4.793
ENST00000559164	Heart - Atrial Appendage	0.767	0.779	0.555	1.01625021963	3.118
ENST00000559164	Esophagus - Muscularis	1.681	1.275	1.569	0.758875884284	4.967
ENST00000559164	Brain - Cerebellar Hemisphere	0.509	0.463	0.441	0.908656994422	1.836
ENST00000559164	Small Intestine - Terminal Ileum	0.243	0.352	0.000	1.44522398527	1.263
ENST00000559164	Breast - Mammary Tissue	0.924	1.038	0.600	1.12341550949	3.955
ENST00000559164	Stomach	0.802	0.894	0.548	1.11528288204	3.473
ENST00000559164	Brain - Cerebellum	0.434	0.434	0.365	1.00038303386	1.688
ENST00000559164	Esophagus - Mucosa	0.624	0.714	0.467	1.1445756223	2.693
ENST00000559164	Brain - Putamen (basal ganglia)	0.384	0.425	0.279	1.10694613275	1.629
ENST00000559164	Artery - Coronary	0.808	0.891	0.606	1.10211286991	3.255
ENST00000559164	Liver	0.089	0.173	0.000	1.93993595956	0.584
ENST00000559164	Esophagus - Gastroesophageal Junction	1.371	1.263	1.085	0.921366936535	4.916
ENST00000559164	Brain - Hypothalamus	0.520	0.594	0.335	1.1434205356	2.301
ENST00000559164	Colon - Transverse	1.066	1.115	0.710	1.04658146303	4.590
ENST00000559164	Prostate	0.394	0.525	0.000	1.33341244792	1.871
ENST00000559164	Brain - Amygdala	0.432	0.457	0.371	1.05686820812	2.093
